company_name,total_jobs,avg_rating,avg_skills_per_job,remote_jobs_count,remote_percentage,locations_json,job_categories_json,top_skills_json
Photon,14,4.1000000000000005,9.5,0,0.0,"[{""location"": ""Bengaluru"", ""job_count"": 13}, {""location"": ""Chennai"", ""job_count"": 1}]","[{""job_category"": ""software_engineer"", ""job_count"": 11}, {""job_category"": ""devops"", ""job_count"": 1}, {""job_category"": ""data_science"", ""job_count"": 1}, {""job_category"": ""product_manager"", ""job_count"": 1}]","[{""skill_name"": ""css"", ""skill_count"": 8}, {""skill_name"": ""javascript"", ""skill_count"": 6}, {""skill_name"": ""angular"", ""skill_count"": 5}, {""skill_name"": ""web application"", ""skill_count"": 5}, {""skill_name"": ""rest"", ""skill_count"": 4}, {""skill_name"": ""python"", ""skill_count"": 4}, {""skill_name"": ""aws"", ""skill_count"": 4}, {""skill_name"": ""java"", ""skill_count"": 4}, {""skill_name"": ""html"", ""skill_count"": 4}, {""skill_name"": ""sql"", ""skill_count"": 3}, {""skill_name"": ""kubernetes"", ""skill_count"": 3}, {""skill_name"": ""devops"", ""skill_count"": 2}, {""skill_name"": ""scala"", ""skill_count"": 2}, {""skill_name"": ""amazon web services"", ""skill_count"": 2}, {""skill_name"": ""node"", ""skill_count"": 2}]"
IBM,10,3.8999999999999995,9.0,0,0.0,"[{""location"": ""Bengaluru"", ""job_count"": 10}]","[{""job_category"": ""software_engineer"", ""job_count"": 6}, {""job_category"": ""data_science"", ""job_count"": 3}, {""job_category"": ""devops"", ""job_count"": 1}]","[{""skill_name"": ""python"", ""skill_count"": 6}, {""skill_name"": ""kubernetes"", ""skill_count"": 5}, {""skill_name"": ""continuous integration"", ""skill_count"": 3}, {""skill_name"": ""artificial intelligence"", ""skill_count"": 3}, {""skill_name"": ""keras"", ""skill_count"": 2}, {""skill_name"": ""linux"", ""skill_count"": 2}, {""skill_name"": ""css"", ""skill_count"": 2}, {""skill_name"": ""pytorch"", ""skill_count"": 2}, {""skill_name"": ""aws"", ""skill_count"": 2}, {""skill_name"": ""c++"", ""skill_count"": 2}, {""skill_name"": ""cicd"", ""skill_count"": 2}, {""skill_name"": ""microsoft azure"", ""skill_count"": 2}, {""skill_name"": ""pandas"", ""skill_count"": 2}, {""skill_name"": ""tensorflow"", ""skill_count"": 2}, {""skill_name"": ""data science"", ""skill_count"": 2}]"
Infosys,9,3.5,9.0,0,0.0,"[{""location"": ""Bengaluru"", ""job_count"": 9}]","[{""job_category"": ""software_engineer"", ""job_count"": 9}]","[{""skill_name"": ""python"", ""skill_count"": 8}, {""skill_name"": ""django"", ""skill_count"": 5}, {""skill_name"": ""development"", ""skill_count"": 5}, {""skill_name"": ""flask"", ""skill_count"": 5}, {""skill_name"": ""engineering"", ""skill_count"": 4}, {""skill_name"": ""python development"", ""skill_count"": 4}, {""skill_name"": ""mtech"", ""skill_count"": 4}, {""skill_name"": ""software"", ""skill_count"": 3}, {""skill_name"": ""software development"", ""skill_count"": 3}, {""skill_name"": ""pan"", ""skill_count"": 2}, {""skill_name"": ""css"", ""skill_count"": 2}, {""skill_name"": ""sdlc"", ""skill_count"": 2}, {""skill_name"": ""btech"", ""skill_count"": 2}, {""skill_name"": ""test cases"", ""skill_count"": 2}, {""skill_name"": ""agile methodology"", ""skill_count"": 2}]"
Capgemini,8,3.6999999999999997,9.5,0,0.0,"[{""location"": ""Bengaluru"", ""job_count"": 4}, {""location"": ""Chennai"", ""job_count"": 1}, {""location"": ""Hyderabad"", ""job_count"": 1}, {""location"": ""Kolkata"", ""job_count"": 1}, {""location"": ""Gurugram"", ""job_count"": 1}]","[{""job_category"": ""devops"", ""job_count"": 3}, {""job_category"": ""data_science"", ""job_count"": 3}, {""job_category"": ""software_engineer"", ""job_count"": 2}]","[{""skill_name"": ""python"", ""skill_count"": 5}, {""skill_name"": ""software development"", ""skill_count"": 4}, {""skill_name"": ""devops"", ""skill_count"": 3}, {""skill_name"": ""kubernetes"", ""skill_count"": 3}, {""skill_name"": ""machine learning"", ""skill_count"": 3}, {""skill_name"": ""continuous integration"", ""skill_count"": 3}, {""skill_name"": ""natural language processing"", ""skill_count"": 2}, {""skill_name"": ""software design"", ""skill_count"": 2}, {""skill_name"": ""c++"", ""skill_count"": 2}, {""skill_name"": ""software engineering"", ""skill_count"": 2}, {""skill_name"": ""data scientist"", ""skill_count"": 2}, {""skill_name"": ""eks"", ""skill_count"": 2}, {""skill_name"": ""project management"", ""skill_count"": 2}, {""skill_name"": ""algorithms"", ""skill_count"": 2}, {""skill_name"": ""machine learning algorithms"", ""skill_count"": 1}]"
Leading Client,8,0.0,9.375,1,12.5,"[{""location"": ""Bengaluru"", ""job_count"": 4}, {""location"": ""Remote"", ""job_count"": 2}, {""location"": ""Pune"", ""job_count"": 1}, {""location"": ""Hybrid - Madgaon"", ""job_count"": 1}]","[{""job_category"": ""data_science"", ""job_count"": 6}, {""job_category"": ""software_engineer"", ""job_count"": 1}, {""job_category"": ""devops"", ""job_count"": 1}]","[{""skill_name"": ""data analysis"", ""skill_count"": 5}, {""skill_name"": ""data science"", ""skill_count"": 3}, {""skill_name"": ""python"", ""skill_count"": 2}, {""skill_name"": ""data visualizations"", ""skill_count"": 2}, {""skill_name"": ""analytics"", ""skill_count"": 2}, {""skill_name"": ""data analytics"", ""skill_count"": 2}, {""skill_name"": ""data"", ""skill_count"": 2}, {""skill_name"": ""analysis"", ""skill_count"": 2}, {""skill_name"": ""data visualization"", ""skill_count"": 2}, {""skill_name"": ""erp transition"", ""skill_count"": 1}, {""skill_name"": ""commerce tool"", ""skill_count"": 1}, {""skill_name"": ""nlp"", ""skill_count"": 1}, {""skill_name"": ""vue.js"", ""skill_count"": 1}, {""skill_name"": ""ci cd pipeline"", ""skill_count"": 1}, {""skill_name"": ""ai system performance"", ""skill_count"": 1}]"
Emperen Technologies,7,0.0,10.285714285714286,0,0.0,"[{""location"": ""Bengaluru"", ""job_count"": 1}, {""location"": ""Mumbai"", ""job_count"": 1}, {""location"": ""Kolkata"", ""job_count"": 1}, {""location"": ""Pune"", ""job_count"": 1}, {""location"": ""Delhi"", ""job_count"": 1}, {""location"": ""Noida"", ""job_count"": 1}, {""location"": ""Remote"", ""job_count"": 1}]","[{""job_category"": ""data_science"", ""job_count"": 7}]","[{""skill_name"": ""pandas"", ""skill_count"": 7}, {""skill_name"": ""spark"", ""skill_count"": 7}, {""skill_name"": ""cloud"", ""skill_count"": 7}, {""skill_name"": ""statistics"", ""skill_count"": 7}, {""skill_name"": ""data scientist"", ""skill_count"": 7}, {""skill_name"": ""machine learning"", ""skill_count"": 7}, {""skill_name"": ""data science"", ""skill_count"": 7}, {""skill_name"": ""numpy"", ""skill_count"": 7}, {""skill_name"": ""artificial intelligence"", ""skill_count"": 7}, {""skill_name"": ""computer science"", ""skill_count"": 7}, {""skill_name"": ""machine learning engineer"", ""skill_count"": 2}]"
Tata Consultancy Services,6,3.5,7.666666666666667,0,0.0,"[{""location"": ""Bengaluru"", ""job_count"": 4}, {""location"": ""Chennai"", ""job_count"": 1}, {""location"": ""Delhi"", ""job_count"": 1}]","[{""job_category"": ""software_engineer"", ""job_count"": 3}, {""job_category"": ""data_science"", ""job_count"": 2}, {""job_category"": ""devops"", ""job_count"": 1}]","[{""skill_name"": ""python"", ""skill_count"": 3}, {""skill_name"": ""development"", ""skill_count"": 2}, {""skill_name"": ""software"", ""skill_count"": 2}, {""skill_name"": ""data analytics"", ""skill_count"": 2}, {""skill_name"": ""software development"", ""skill_count"": 1}, {""skill_name"": ""ai"", ""skill_count"": 1}, {""skill_name"": ""aws"", ""skill_count"": 1}, {""skill_name"": ""al"", ""skill_count"": 1}, {""skill_name"": ""data"", ""skill_count"": 1}, {""skill_name"": ""telecommunication"", ""skill_count"": 1}, {""skill_name"": ""advanced excel"", ""skill_count"": 1}, {""skill_name"": ""configuration management"", ""skill_count"": 1}, {""skill_name"": ""data analysis"", ""skill_count"": 1}, {""skill_name"": ""linux"", ""skill_count"": 1}, {""skill_name"": ""chef"", ""skill_count"": 1}]"
Wipro,5,3.7,8.8,0,0.0,"[{""location"": ""Bengaluru"", ""job_count"": 4}, {""location"": ""Hyderabad"", ""job_count"": 1}]","[{""job_category"": ""devops"", ""job_count"": 3}, {""job_category"": ""data_science"", ""job_count"": 2}]","[{""skill_name"": ""devops"", ""skill_count"": 3}, {""skill_name"": ""data analysis"", ""skill_count"": 2}, {""skill_name"": ""continuous integration"", ""skill_count"": 2}, {""skill_name"": ""python"", ""skill_count"": 2}, {""skill_name"": ""cicd"", ""skill_count"": 2}, {""skill_name"": ""data integration"", ""skill_count"": 1}, {""skill_name"": ""root cause analysis"", ""skill_count"": 1}, {""skill_name"": ""sql"", ""skill_count"": 1}, {""skill_name"": ""c++"", ""skill_count"": 1}, {""skill_name"": ""lambda"", ""skill_count"": 1}, {""skill_name"": ""devops engineer"", ""skill_count"": 1}, {""skill_name"": ""troubleshooting"", ""skill_count"": 1}, {""skill_name"": ""board support package"", ""skill_count"": 1}, {""skill_name"": ""devops engineering"", ""skill_count"": 1}, {""skill_name"": ""azure integration"", ""skill_count"": 1}]"
Accenture,5,3.7,8.4,0,0.0,"[{""location"": ""Bengaluru"", ""job_count"": 4}, {""location"": ""Kolkata"", ""job_count"": 1}]","[{""job_category"": ""devops"", ""job_count"": 2}, {""job_category"": ""data_science"", ""job_count"": 2}, {""job_category"": ""software_engineer"", ""job_count"": 1}]","[{""skill_name"": ""python"", ""skill_count"": 4}, {""skill_name"": ""devops"", ""skill_count"": 2}, {""skill_name"": ""salesforce"", ""skill_count"": 2}, {""skill_name"": ""sql"", ""skill_count"": 2}, {""skill_name"": ""version control"", ""skill_count"": 2}, {""skill_name"": ""continuous integration"", ""skill_count"": 2}, {""skill_name"": ""kubernetes"", ""skill_count"": 2}, {""skill_name"": ""software engineering"", ""skill_count"": 1}, {""skill_name"": ""software development"", ""skill_count"": 1}, {""skill_name"": ""hive"", ""skill_count"": 1}, {""skill_name"": ""ai"", ""skill_count"": 1}, {""skill_name"": ""microsoft - robotic process automation"", ""skill_count"": 1}, {""skill_name"": ""project management"", ""skill_count"": 1}, {""skill_name"": ""git"", ""skill_count"": 1}, {""skill_name"": ""custom software"", ""skill_count"": 1}]"
SAP,4,4.2,12.0,0,0.0,"[{""location"": ""Bengaluru"", ""job_count"": 4}]","[{""job_category"": ""data_science"", ""job_count"": 3}, {""job_category"": ""software_engineer"", ""job_count"": 1}]","[{""skill_name"": ""ai"", ""skill_count"": 3}, {""skill_name"": ""golang"", ""skill_count"": 3}, {""skill_name"": ""artificial intelligence"", ""skill_count"": 3}, {""skill_name"": ""computer science"", ""skill_count"": 3}, {""skill_name"": ""machine learning"", ""skill_count"": 3}, {""skill_name"": ""sql"", ""skill_count"": 2}, {""skill_name"": ""continuous integration"", ""skill_count"": 2}, {""skill_name"": ""mathematics"", ""skill_count"": 2}, {""skill_name"": ""cd"", ""skill_count"": 2}, {""skill_name"": ""engineering"", ""skill_count"": 2}, {""skill_name"": ""python"", ""skill_count"": 2}, {""skill_name"": ""system design"", ""skill_count"": 2}, {""skill_name"": ""cicd"", ""skill_count"": 2}, {""skill_name"": ""algorithms"", ""skill_count"": 1}, {""skill_name"": ""software development"", ""skill_count"": 1}]"
