Column,Missing_Count,Missing_Percentage,Complete_Records
salary,416,100.0,0
company_rating,96,23.076923076923077,320
experience_max,2,0.4807692307692308,414
experience_min,2,0.4807692307692308,414
description,1,0.2403846153846154,415
location,0,0.0,416
title,0,0.0,416
company,0,0.0,416
job_id,0,0.0,416
skills_extracted,0,0.0,416
job_url,0,0.0,416
posted_date,0,0.0,416
scraped_at,0,0.0,416
search_keyword,0,0.0,416
page_number,0,0.0,416
job_category,0,0.0,416
seniority_level,0,0.0,416
remote_friendly,0,0.0,416
skills_nlp_extracted,0,0.0,416
skills_all,0,0.0,416
skills_categorized,0,0.0,416
job_requirements,0,0.0,416
total_skills_count,0,0.0,416
nlp_processed_at,0,0.0,416
