skill_name,skill_category,job_count,unique_jobs,company_count,location_count,avg_company_rating,avg_skills_in_job,avg_job_sentiment,remote_jobs,demand_percentage,remote_percentage,max_confidence
python,programming_languages,165,165,126,17,3.01,9.3,0.0,0.0,39.66,0.0,0.9
machine learning,programming_languages,95,95,76,14,2.59,9.8,0.0,0.0,22.84,0.0,0.9
sql,programming_languages,73,73,66,9,2.69,9.2,0.0,1.0,17.55,1.4,0.9
computer science,programming_languages,60,60,50,10,2.89,9.9,0.0,0.0,14.42,0.0,0.9
artificial intelligence,programming_languages,57,57,45,13,2.64,10.5,0.0,0.0,13.7,0.0,0.9
devops,devops_tools,47,47,39,9,3.07,9.3,0.0,0.0,11.3,0.0,0.9
data analysis,data_science_analytics,46,46,39,15,2.6,8.8,0.0,0.0,11.06,0.0,0.9
product management,programming_languages,45,45,43,12,2.86,8.0,0.0,1.0,10.82,2.2,0.8
kubernetes,programming_languages,41,41,28,9,3.49,9.5,0.0,0.0,9.86,0.0,0.9
continuous integration,programming_languages,40,40,29,9,3.39,9.4,0.0,0.0,9.62,0.0,0.8
javascript,programming_languages,40,40,31,12,3.25,9.5,0.0,2.0,9.62,5.0,0.9
aws,cloud_platforms,38,38,32,5,2.76,9.6,0.0,0.0,9.13,0.0,0.9
data science,programming_languages,38,38,27,10,2.22,9.8,0.0,0.0,9.13,0.0,0.9
cicd,programming_languages,37,37,30,10,3.04,9.3,0.0,0.0,8.89,0.0,0.8
ai,data_science_analytics,34,34,31,8,3.22,11.0,0.0,0.0,8.17,0.0,0.9
data,machine_learning_ai,33,33,31,8,2.81,8.7,0.0,1.0,7.93,3.0,0.9
data scientist,programming_languages,33,33,26,10,2.37,9.7,0.0,0.0,7.93,0.0,0.9
development,other_technical,32,32,25,7,2.69,8.0,0.0,0.0,7.69,0.0,0.9
product strategy,programming_languages,31,31,30,12,2.89,8.0,0.0,0.0,7.45,0.0,0.8
natural language processing,programming_languages,30,30,28,6,2.8,10.1,0.0,0.0,7.21,0.0,0.9
css,programming_languages,29,29,19,3,3.38,9.7,0.0,0.0,6.97,0.0,0.8
machine learning engineer,programming_languages,28,28,26,6,2.12,10.4,0.0,0.0,6.73,0.0,0.9
data analytics,programming_languages,26,26,24,12,2.9,8.4,0.0,0.0,6.25,0.0,0.9
agile,soft_skills,26,26,26,7,3.03,8.8,0.0,0.0,6.25,0.0,0.9
software development,programming_languages,26,26,21,5,3.49,8.7,0.0,0.0,6.25,0.0,0.9
docker,programming_languages,26,26,25,5,2.82,9.9,0.0,0.0,6.25,0.0,0.9
django,programming_languages,25,25,21,7,2.71,9.0,0.0,0.0,6.01,0.0,0.9
react.js,programming_languages,25,25,22,8,3.14,9.7,0.0,0.0,6.01,0.0,0.8
engineering,programming_languages,23,23,19,4,2.95,10.0,0.0,0.0,5.53,0.0,0.9
